,arabic,english
21159,كان لدى سامي جهاز تنصّت تحت ملابسه.,Sami had a wire underneath his clothing.
21160,استدى سامي ملابس زوجته.,Sami dressed in his wife's clothes.
21161,كان لدى سامي ذوق راق في ما يخصّ الملابس.,Sami had an expensive taste in clothing.
21162,ارتدى سامي بعض الملابس و خرج.,Sami threw on some clothes and went out.
21163,ماذا تفعل بملابس سامي؟,What are you doing in Sami's clothes?
21164,أخذ سامي ملابسه إلى محلّ التّنظيف الجاف.,Sami took his clothes to the dry cleaner.
21165,لم يكن لدى سامي ملابس في خزانته.,Sami didn't have clothes in his wardrobe.
21166,أنفقت ليلى 8000 جنيه على الملابس ذلك الشّهر.,"Layla spent 8,000 pounds on clothing that month."
21167,أنفقت ليلى أكثر من عشرين ألف دولار على الملابس.,Layla spent more than twenty thousand dollars on clothing.
21168,كانت ملابس سامي ملطّخة بدم ليلى.,Sami's clothes had Layla's blood on them.
21169,أردت أن أشتري لك بعض الملابس للشّتاء.,I wanted to get you some clothes for the winter.
21170,سأعيدك للمنزل كي تغيّر ملابسك.,I'll take you back home to change your clothes.
21171,سأعيدك للمنزل كي تبدّل ملابسك.,I'll take you back home to change your clothes.
21172,عليك أن تعيرني بعض ملابسك.,You'll have to lend me some of your clothes.
21173,كانت لدى سامي عين دقيقة في اختيار الملابس المناسبة.,Sami had a meticulous eye for choosing the right clothes.
21174,وجد سامي ملابس ليلى معلّقة في غرفته.,Sami found Layla's clothes hanging up in his room.
21175,رمى سامي الملابس التي استداها أثناء الجريمة.,Sami dumped the clothes he had worn during the crime.
21176,ارتدى سامي بعض الملابس و ذهب إلى محلّ المواد الغذائيّة.,Sami threw on some clothes and went to the grocery store.
21177,ارتدى سامي ملابس غليظة كي يحمي نفسه من البرد.,Sami dressed in thick clothes to protect himself from the cold.
21178,خلع سامي كلّ ملابسه و ذهب للسّباحة.,Sami took off all of his clothes and went for a swim.
21179,واصلت ليلى السّباحة.,Layla kept swimming.
21180,واصلت ليلى السّباحة فحسب.,Layla just kept swimming.
21181,من كان في هذا الوضع، فعليه إمّا السّباحة أو الغرق.,It's swim or die.
21182,كان سامي يذهب للسّباحة كلّ يوم جمعة.,Sami went swimming every Friday.
21183,من كان هنا، فإمّا أن يسبح أو يغرق.,It's swim or die here.
21184,ساعدني. لا أعرف السّباحة.,Help me. I can't swim.
21185,ساعدوني. لا أعرف السّباحة.,Help me. I can't swim.
21186,غرق سامي في المسبح.,Sami drowned in the swimming pool.
21187,كان سامي يسبح في المسبح.,Sami was swimming in the pool.
21188,بإمكان سامي أن يسبح أسرع من ليلى.,Sami can swim faster than Layla.
21189,علّم سامي السّباحة لليلى.,Sami taught Layla how to swim.
21190,علّم يامي ليلى السّباحة.,Sami taught Layla how to swim.
21191,كان سامي يسبح في مسبحه.,Sami was swimming in his pool.
21192,غرق سامي في مسبح.,Sami drowned in a swimming pool.
21193,إنّ سامي يغرق في المسبح.,Sami is drowning in the swimming pool.
21194,كان سامي في مكان غير مسموح للسّباحة.,Sami was in a no-swim zone.
21195,كان سامي في مكان لا تُسمح فيه السّباحة.,Sami was in a no-swim zone.
21196,كان سامي في مكان مُنعت فيه السّباحة.,Sami was in a no-swim zone.
21197,كان سامي في مكان ممنوع السّباحة فيه.,Sami was in a no-swim zone.
21198,كانا سامي و ليلى يسبحان في المسبح.,Sami and Layla were swimming in the pool.
21199,كانت ليلى قويّة بما يكفي كي تعبر النّهر سباحة.,Layla was strong enough to swim across the river.
21200,بإمكان الدّب القطبي أن يسبح مسافة تصل إلى 500 كيلومتر.,A polar bear can swim up to 500 kilometers.
21201,وجد سامي لليلى منصب شغل في المسبح.,Sami got Layla a job at the swimming pool.
21202,يحسن سامي السّباحة مثل ليلى تقريبا.,Sami can swim just about as well as Layla can.
21203,حاولت ليلى الابتعاد عن سرب قناديل البحر ذاك.,Layla tried to swim away from the school of jellyfish.
21204,كانت جثّة سامي الهامدة تطفو في المسبح.,Sami's lifeless body was floating in the swimming pool.
21205,سمعتكما تتخاصمان.,I heard you arguing.
21206,لم يتخاصما سامي و ليلى قطّ.,Sami and Layla never argued.
21207,كانا سامي و ليلى يتخاصمان باستمرار.,Sami and Layla argued constantly.
21208,كانا سامي و ليلى يتخاصمان كثيرا.,Sami and Layla argued frequently.
21209,كانا سامي و ليلى يتخاصمان.,Sami and Layla were arguing.
21210,كان سامي يتخاصم مع ليلى.,Sami was arguing with Layla.
21211,كانا سامي و ليلى يتخاصمان أحيانا.,Sami and Layla argued sometimes.
21212,كانا فاضل و دانية يتخاصمان بصوت مرتفع.,Fadil and Dania were arguing loudly.
21213,كانا فاضل و دانية يتخاصمان بصوت عال.,Fadil and Dania were arguing loudly.
21214,سمعت ليلى سامي و سليمة يتخاصمان.,Layla heard Sami and Salima arguing.
21215,بدآ سامي و ليلى يتخاصمان مجدّدا.,Sami and Layla started arguing again.
21216,سامي لا يريد الخصام.,Sami doesn't want to argue.
21217,سامي يتخاصم معي دائما.,Sami is always arguing with me.
21218,كانا سامي و ليلى يتخاصمان كثيرا.,Sami and Layla argued a lot.
21219,سامي و ليلى يتخاصمان.,Sami and Layla have been arguing.
21220,كانا سامي و ليلى يتخاصمان دائما.,Sami and Layla would always argue.
21221,لم يكن سامي يريد الخصام.,Sami didn't want to argue.
21222,تخاصما ليلى و سامي عدّة مرّات تلك اللّيلة.,Layla and Sami argued repeatedly that night.
21223,نشأ سامي و هو يرى والديه يتخاصمان.,Sami grew up watching his parents arguing.
21224,كانا سامي و ليلى يتخاصمان بخصوص شيء ما.,Sami and Layla were arguing about something.
21225,كانا سامي و ليلى يتخاصمان على شيء ما.,Sami and Layla were arguing about something.
21226,تخاصما سامي و ليلى على ورق المرحاض.,Sami and Layla argued about toilet paper.
21227,كانا سامي و ليلى يتخاصمان كثيرا.,Sami and Layla would argue a lot.
21228,تخاصما سامي و ليلى حول مشكل إدمانها على الكحول.,Sami and Layla argued about her drinking issue.
21229,عندما عادا سامي و ليلى للمنزل، تخاصما.,"When Sami and Layla went home, they argued."
21230,أمضيا سامي و ليلى يوما مضطربا و مليئا بالتّخاصم.,Sami and Layla spent a volatile day of arguing.
21231,تخاصما سامي و ليلى حول من سيتكفّل بأبناءهما.,Sami and Layla argued over custody of their children.
21232,لم يرد سامي أن يتخاصم مع ذلك الرّجل.,Sami didn't want to argue with that guy.
21233,تخاصما سامي و ليلى حول مسألة من سيتكفّل بأولادهما.,Sami and Layla argued over the custody of their children.
21234,منذ أن دخلا إلى هناك، لم يكفّا عن التّخاصم.,They haven't stopped arguing since they went in there.
21235,تخاصما سامي و ليلى في المحلّ أمام الجميع.,Sami and Layla argued in the store in front of everybody.
21236,لم يتخاصما سامي و ليلى أمام أطفالهما.,Sami and Layla didn't argue in front of the kids.
21237,اعترفت ليلى أنّها تخاصمت مع زوجها سامي في اليوم الذي اختفى فيه.,Layla admitted she argued with her husband Sami the day he disappeared.
21238,استمرّا سامي و ليلى في التّخاصم من حين لآخر طيلة يوم عيد الميلاد.,Sami and Layla have been arguing on and off all Christmas day.
21239,سامي على متن حافلة.,Sami is on a bus.
21240,سامي في حافلة.,Sami is on a bus.
21241,كان سامي في محطّة الحافلات.,Sami was at the bus station.
21242,ضحّت ليلى بسامي لتنجو بنفسها.,Layla threw Sami under the bus.
21243,ضحّت ليلى بسامي كي تخرج نفسها من المأزق.,Layla threw Sami under the bus.
21244,لم يسبق لليلى و أن ركبت الحافلة من قبل.,Layla never rode the bus before.
21245,ضحّى سامي بأمّه كي يُخرج نفسه من المأزق.,Sami threw his mom under the bus.
21246,كان سامي يركب نفس الحافلة التي تركبها ليلى.,Sami rode the same bus as Layla.
21247,ضحّى سامي بليلى كي ينجو بنفسه.,Sami threw Layla under the bus to save himself.
21248,ضحّى سامي بليلى كي يُخرج نفسه من المأزق.,Sami threw Layla under the bus to save himself.
21249,أتى سامي إلى موقف الحافلة لاصطحاب ليلى.,Sami came to the bus stop to pick Layla up.
21250,أنا أصطحبك إلى المنزل.,I'm driving you home myself.
